Wall time,Step,Value
1571300287.7654815,10001,-20.090909957885742
1571300318.2377362,20001,-20.095237731933594
1571300350.418349,30001,-20.21875
1571300380.7280788,40001,-20.255813598632812
1571300411.7303298,50001,-20.226415634155273
1571300579.9204025,60001,-20.33846092224121
1571300745.6560369,70001,-20.355262756347656
1571300911.3655183,80001,-20.36046600341797
1571301077.6110706,90001,-20.367347717285156
1571301245.4043257,100001,-20.3700008392334
1571301412.2086077,110001,-20.360000610351562
1571301578.0193152,120001,-20.31999969482422
1571301741.8531199,130001,-20.309999465942383
1571301905.9574084,140001,-20.309999465942383
1571302071.0763063,150001,-20.280000686645508
1571302234.3418524,160001,-20.280000686645508
1571302396.1985261,170001,-20.1299991607666
1571302559.2272687,180001,-20.170000076293945
1571302723.7915075,190001,-20.149999618530273
1571302888.2685606,200001,-20.09000015258789
1571303055.0861588,210001,-20.06999969482422
1571303221.2945895,220001,-20.06999969482422
1571303389.800952,230001,-20.030000686645508
1571303559.1913352,240001,-19.979999542236328
1571303728.2118173,250001,-19.93000030517578
1571303897.8905766,260001,-19.979999542236328
1571304067.7607527,270001,-20.030000686645508
1571304238.1670847,280001,-20.0
1571304408.8319972,290001,-20.06999969482422
1571304580.4301696,300001,-20.1200008392334
1571304752.288379,310001,-20.1299991607666
1571304925.4533222,320001,-20.1299991607666
1571305102.3690789,330001,-20.190000534057617
1571305276.9019845,340001,-20.15999984741211
1571305449.0669487,350001,-20.200000762939453
1571305619.3659096,360001,-20.139999389648438
1571305791.623536,370001,-20.059999465942383
1571305966.6892512,380001,-20.049999237060547
1571306140.490796,390001,-19.979999542236328
1571306314.27647,400001,-19.90999984741211
1571306489.6658297,410001,-19.969999313354492
1571306666.903194,420001,-19.950000762939453
1571306841.945383,430001,-19.90999984741211
1571307019.269186,440001,-19.920000076293945
1571307192.6616156,450001,-19.889999389648438
1571307368.1512978,460001,-19.799999237060547
1571307546.005076,470001,-19.780000686645508
1571307724.0986338,480001,-19.760000228881836
1571307901.5417428,490001,-19.729999542236328
1571308079.8955486,500001,-19.670000076293945
1571308258.8744953,510001,-19.670000076293945
1571308437.6559367,520001,-19.610000610351562
1571308619.6699574,530001,-19.469999313354492
1571308800.5652933,540001,-19.34000015258789
1571308982.2237918,550001,-19.219999313354492
1571309162.9728715,560001,-19.110000610351562
1571309341.4728534,570001,-18.989999771118164
1571309521.978781,580001,-18.950000762939453
1571309705.456966,590001,-18.84000015258789
